,country,year,cases,sex,age
86575,AE,2004,2.0,f,25-34
92344,AE,2004,7.0,f,35-44
98113,AE,2004,2.0,f,45-54
103882,AE,2004,2.0,f,55-64
17347,AE,2004,1.0,m,0-14
23116,AE,2004,7.0,m,15-24
28885,AE,2004,6.0,m,25-34
34654,AE,2004,7.0,m,35-44
40423,AE,2004,3.0,m,45-54
46192,AE,2004,1.0,m,55-64
75039,AE,2006,2.0,f,0-14
80808,AE,2006,6.0,f,15-24
86577,AE,2006,4.0,f,25-34
92346,AE,2006,5.0,f,35-44
98115,AE,2006,3.0,f,45-54
69270,AE,2006,2.0,f,5-14
103884,AE,2006,4.0,f,55-64
17349,AE,2006,0.0,m,0-14
23118,AE,2006,5.0,m,15-24
28887,AE,2006,3.0,m,25-34
34656,AE,2006,7.0,m,35-44
40425,AE,2006,3.0,m,45-54
11580,AE,2006,0.0,m,5-14
46194,AE,2006,1.0,m,55-64
75040,AE,2007,1.0,f,0-14
80809,AE,2007,8.0,f,15-24
86578,AE,2007,6.0,f,25-34
92347,AE,2007,3.0,f,35-44
98116,AE,2007,2.0,f,45-54
69271,AE,2007,1.0,f,5-14
103885,AE,2007,0.0,f,55-64
17350,AE,2007,2.0,m,0-14
23119,AE,2007,5.0,m,15-24
28888,AE,2007,6.0,m,25-34
34657,AE,2007,3.0,m,35-44
40426,AE,2007,4.0,m,45-54
11581,AE,2007,2.0,m,5-14
46195,AE,2007,3.0,m,55-64
75041,AE,2008,0.0,f,0-14
80810,AE,2008,10.0,f,15-24
86579,AE,2008,4.0,f,25-34
92348,AE,2008,1.0,f,35-44
98117,AE,2008,1.0,f,45-54
69272,AE,2008,0.0,f,5-14
103886,AE,2008,3.0,f,55-64
17351,AE,2008,0.0,m,0-14
23120,AE,2008,6.0,m,15-24
28889,AE,2008,1.0,m,25-34
34658,AE,2008,7.0,m,35-44
40427,AE,2008,5.0,m,45-54
11582,AE,2008,0.0,m,5-14
46196,AE,2008,3.0,m,55-64
75054,AF,1997,5.0,f,0-14
80823,AF,1997,38.0,f,15-24
86592,AF,1997,36.0,f,25-34
92361,AF,1997,14.0,f,35-44
98130,AF,1997,8.0,f,45-54
103899,AF,1997,0.0,f,55-64
17364,AF,1997,0.0,m,0-14
23133,AF,1997,10.0,m,15-24
28902,AF,1997,6.0,m,25-34
34671,AF,1997,3.0,m,35-44
40440,AF,1997,5.0,m,45-54
46209,AF,1997,2.0,m,55-64
75055,AF,1998,45.0,f,0-14
80824,AF,1998,350.0,f,15-24
86593,AF,1998,419.0,f,25-34
92362,AF,1998,194.0,f,35-44
98131,AF,1998,118.0,f,45-54
103900,AF,1998,61.0,f,55-64
17365,AF,1998,30.0,m,0-14
23134,AF,1998,129.0,m,15-24
28903,AF,1998,128.0,m,25-34
34672,AF,1998,90.0,m,35-44
40441,AF,1998,89.0,m,45-54
46210,AF,1998,64.0,m,55-64
75056,AF,1999,25.0,f,0-14
80825,AF,1999,139.0,f,15-24
86594,AF,1999,160.0,f,25-34
92363,AF,1999,110.0,f,35-44
98132,AF,1999,50.0,f,45-54
103901,AF,1999,25.0,f,55-64
17366,AF,1999,8.0,m,0-14
23135,AF,1999,55.0,m,15-24
28904,AF,1999,55.0,m,25-34
34673,AF,1999,47.0,m,35-44
40442,AF,1999,34.0,m,45-54
46211,AF,1999,21.0,m,55-64
75057,AF,2000,93.0,f,0-14
80826,AF,2000,414.0,f,15-24
86595,AF,2000,565.0,f,25-34
92364,AF,2000,339.0,f,35-44
98133,AF,2000,205.0,f,45-54
103902,AF,2000,99.0,f,55-64
17367,AF,2000,52.0,m,0-14
23136,AF,2000,228.0,m,15-24
28905,AF,2000,183.0,m,25-34
34674,AF,2000,149.0,m,35-44
40443,AF,2000,129.0,m,45-54
46212,AF,2000,94.0,m,55-64
75058,AF,2001,146.0,f,0-14
80827,AF,2001,799.0,f,15-24
86596,AF,2001,888.0,f,25-34
92365,AF,2001,586.0,f,35-44
98134,AF,2001,375.0,f,45-54
103903,AF,2001,179.0,f,55-64
17368,AF,2001,129.0,m,0-14
23137,AF,2001,379.0,m,15-24
28906,AF,2001,349.0,m,25-34
34675,AF,2001,274.0,m,35-44
40444,AF,2001,204.0,m,45-54
46213,AF,2001,139.0,m,55-64
75059,AF,2002,192.0,f,0-14
80828,AF,2002,1119.0,f,15-24
86597,AF,2002,1251.0,f,25-34
92366,AF,2002,792.0,f,35-44
98135,AF,2002,526.0,f,45-54
103904,AF,2002,320.0,f,55-64
17369,AF,2002,90.0,m,0-14
23138,AF,2002,476.0,m,15-24
28907,AF,2002,481.0,m,25-34
34676,AF,2002,368.0,m,35-44
40445,AF,2002,246.0,m,45-54
46214,AF,2002,241.0,m,55-64
75060,AF,2003,245.0,f,0-14
80829,AF,2003,1152.0,f,15-24
86598,AF,2003,1287.0,f,25-34
92367,AF,2003,814.0,f,35-44
98136,AF,2003,462.0,f,45-54
103905,AF,2003,305.0,f,55-64
17370,AF,2003,127.0,m,0-14
23139,AF,2003,511.0,m,15-24
28908,AF,2003,436.0,m,25-34
34677,AF,2003,284.0,m,35-44
40446,AF,2003,256.0,m,45-54
46215,AF,2003,288.0,m,55-64
75061,AF,2004,256.0,f,0-14
80830,AF,2004,1360.0,f,15-24
86599,AF,2004,1561.0,f,25-34
92368,AF,2004,1096.0,f,35-44
98137,AF,2004,645.0,f,45-54
103906,AF,2004,413.0,f,55-64
17371,AF,2004,139.0,m,0-14
23140,AF,2004,537.0,m,15-24
28909,AF,2004,568.0,m,25-34
34678,AF,2004,360.0,m,35-44
40447,AF,2004,358.0,m,45-54
46216,AF,2004,386.0,m,55-64
75062,AF,2005,320.0,f,0-14
80831,AF,2005,1651.0,f,15-24
86600,AF,2005,1959.0,f,25-34
92369,AF,2005,1302.0,f,35-44
98138,AF,2005,869.0,f,45-54
103907,AF,2005,471.0,f,55-64
17372,AF,2005,151.0,m,0-14
23141,AF,2005,606.0,m,15-24
28910,AF,2005,560.0,m,25-34
34679,AF,2005,472.0,m,35-44
40448,AF,2005,453.0,m,45-54
46217,AF,2005,470.0,m,55-64
75063,AF,2006,442.0,f,0-14
80832,AF,2006,2139.0,f,15-24
86601,AF,2006,2340.0,f,25-34
92370,AF,2006,1654.0,f,35-44
98139,AF,2006,1006.0,f,45-54
103908,AF,2006,630.0,f,55-64
17373,AF,2006,193.0,m,0-14
23142,AF,2006,837.0,m,15-24
28911,AF,2006,791.0,m,25-34
34680,AF,2006,574.0,m,35-44
40449,AF,2006,572.0,m,45-54
46218,AF,2006,572.0,m,55-64
75064,AF,2007,475.0,f,0-14
80833,AF,2007,2224.0,f,15-24
86602,AF,2007,2357.0,f,25-34
92371,AF,2007,1708.0,f,35-44
98140,AF,2007,1143.0,f,45-54
103909,AF,2007,771.0,f,55-64
17374,AF,2007,186.0,m,0-14
23143,AF,2007,856.0,m,15-24
28912,AF,2007,840.0,m,25-34
34681,AF,2007,597.0,m,35-44
40450,AF,2007,566.0,m,45-54
46219,AF,2007,630.0,m,55-64
75065,AF,2008,428.0,f,0-14
80834,AF,2008,2094.0,f,15-24
86603,AF,2008,2449.0,f,25-34
92372,AF,2008,1614.0,f,35-44
98141,AF,2008,1149.0,f,45-54
103910,AF,2008,817.0,f,55-64
17375,AF,2008,187.0,m,0-14
23144,AF,2008,941.0,m,15-24
28913,AF,2008,773.0,m,25-34
34682,AF,2008,545.0,m,35-44
40451,AF,2008,570.0,m,45-54
46220,AF,2008,630.0,m,55-64
75080,AG,1996,0.0,f,0-14
80849,AG,1996,0.0,f,15-24
86618,AG,1996,0.0,f,25-34
92387,AG,1996,1.0,f,35-44
98156,AG,1996,0.0,f,45-54
103925,AG,1996,0.0,f,55-64
17390,AG,1996,0.0,m,0-14
23159,AG,1996,0.0,m,15-24
28928,AG,1996,0.0,m,25-34
34697,AG,1996,0.0,m,35-44
40466,AG,1996,1.0,m,45-54
46235,AG,1996,0.0,m,55-64
75084,AG,2000,1.0,f,0-14
80853,AG,2000,1.0,f,15-24
86622,AG,2000,1.0,f,25-34
92391,AG,2000,0.0,f,35-44
98160,AG,2000,0.0,f,45-54
103929,AG,2000,0.0,f,55-64
17394,AG,2000,0.0,m,0-14
23163,AG,2000,0.0,m,15-24
28932,AG,2000,0.0,m,25-34
34701,AG,2000,0.0,m,35-44
40470,AG,2000,0.0,m,45-54
46239,AG,2000,0.0,m,55-64
75085,AG,2001,0.0,f,0-14
80854,AG,2001,1.0,f,15-24
86623,AG,2001,0.0,f,25-34
92392,AG,2001,0.0,f,35-44
98161,AG,2001,0.0,f,45-54
103930,AG,2001,0.0,f,55-64
75086,AG,2002,2.0,f,0-14
80855,AG,2002,0.0,f,15-24
86624,AG,2002,1.0,f,25-34
92393,AG,2002,0.0,f,35-44
98162,AG,2002,0.0,f,45-54
103931,AG,2002,0.0,f,55-64
17396,AG,2002,0.0,m,0-14
23165,AG,2002,0.0,m,15-24
28934,AG,2002,1.0,m,25-34
34703,AG,2002,0.0,m,35-44
40472,AG,2002,0.0,m,45-54
46241,AG,2002,0.0,m,55-64
75087,AG,2003,0.0,f,0-14
80856,AG,2003,0.0,f,15-24
86625,AG,2003,0.0,f,25-34
92394,AG,2003,0.0,f,35-44
98163,AG,2003,0.0,f,45-54
103932,AG,2003,0.0,f,55-64
17397,AG,2003,0.0,m,0-14
23166,AG,2003,0.0,m,15-24
28935,AG,2003,1.0,m,25-34
34704,AG,2003,0.0,m,35-44
40473,AG,2003,0.0,m,45-54
46242,AG,2003,0.0,m,55-64
80858,AG,2005,2.0,f,15-24
86627,AG,2005,2.0,f,25-34
34706,AG,2005,1.0,m,35-44
40475,AG,2005,1.0,m,45-54
75091,AG,2007,0.0,f,0-14
80860,AG,2007,0.0,f,15-24
86629,AG,2007,0.0,f,25-34
92398,AG,2007,0.0,f,35-44
98167,AG,2007,0.0,f,45-54
69322,AG,2007,0.0,f,5-14
103936,AG,2007,0.0,f,55-64
17401,AG,2007,0.0,m,0-14
23170,AG,2007,0.0,m,15-24
28939,AG,2007,0.0,m,25-34
34708,AG,2007,0.0,m,35-44
40477,AG,2007,1.0,m,45-54
11632,AG,2007,0.0,m,5-14
46246,AG,2007,1.0,m,55-64
40478,AG,2008,1.0,m,45-54
92417,AI,2003,1.0,f,35-44
75111,AI,2004,0.0,f,0-14
80880,AI,2004,0.0,f,15-24
86649,AI,2004,0.0,f,25-34
92418,AI,2004,0.0,f,35-44
98187,AI,2004,0.0,f,45-54
103956,AI,2004,0.0,f,55-64
17421,AI,2004,0.0,m,0-14
23190,AI,2004,0.0,m,15-24
28959,AI,2004,0.0,m,25-34
34728,AI,2004,0.0,m,35-44
40497,AI,2004,0.0,m,45-54
46266,AI,2004,0.0,m,55-64
75128,AL,1995,0.0,f,0-14
80897,AL,1995,1.0,f,15-24
86666,AL,1995,0.0,f,25-34
92435,AL,1995,0.0,f,35-44
98204,AL,1995,13.0,f,45-54
103973,AL,1995,20.0,f,55-64
17438,AL,1995,0.0,m,0-14
23207,AL,1995,0.0,m,15-24
28976,AL,1995,0.0,m,25-34
34745,AL,1995,0.0,m,35-44
40514,AL,1995,19.0,m,45-54
46283,AL,1995,40.0,m,55-64
75130,AL,1997,1.0,f,0-14
80899,AL,1997,16.0,f,15-24
86668,AL,1997,19.0,f,25-34
92437,AL,1997,14.0,f,35-44
98206,AL,1997,9.0,f,45-54
103975,AL,1997,10.0,f,55-64
17440,AL,1997,0.0,m,0-14
23209,AL,1997,23.0,m,15-24
28978,AL,1997,43.0,m,25-34
34747,AL,1997,33.0,m,35-44
40516,AL,1997,25.0,m,45-54
46285,AL,1997,21.0,m,55-64
75131,AL,1998,2.0,f,0-14
80900,AL,1998,19.0,f,15-24
86669,AL,1998,11.0,f,25-34
92438,AL,1998,12.0,f,35-44
98207,AL,1998,13.0,f,45-54
103976,AL,1998,11.0,f,55-64
17441,AL,1998,1.0,m,0-14
23210,AL,1998,17.0,m,15-24
28979,AL,1998,21.0,m,25-34
34748,AL,1998,24.0,m,35-44
40517,AL,1998,18.0,m,45-54
46286,AL,1998,26.0,m,55-64
75132,AL,1999,0.0,f,0-14
80901,AL,1999,5.0,f,15-24
86670,AL,1999,13.0,f,25-34
92439,AL,1999,11.0,f,35-44
98208,AL,1999,5.0,f,45-54
103977,AL,1999,8.0,f,55-64
17442,AL,1999,0.0,m,0-14
23211,AL,1999,13.0,m,15-24
28980,AL,1999,23.0,m,25-34
34749,AL,1999,25.0,m,35-44
40518,AL,1999,19.0,m,45-54
46287,AL,1999,15.0,m,55-64
75133,AL,2000,3.0,f,0-14
80902,AL,2000,11.0,f,15-24
86671,AL,2000,10.0,f,25-34
92440,AL,2000,8.0,f,35-44
98209,AL,2000,8.0,f,45-54
103978,AL,2000,5.0,f,55-64
17443,AL,2000,2.0,m,0-14
23212,AL,2000,19.0,m,15-24
28981,AL,2000,21.0,m,25-34
34750,AL,2000,14.0,m,35-44
40519,AL,2000,24.0,m,45-54
46288,AL,2000,19.0,m,55-64
75134,AL,2001,1.0,f,0-14
80903,AL,2001,12.0,f,15-24
86672,AL,2001,10.0,f,25-34
92441,AL,2001,5.0,f,35-44
98210,AL,2001,7.0,f,45-54
103979,AL,2001,7.0,f,55-64
17444,AL,2001,3.0,m,0-14
23213,AL,2001,13.0,m,15-24
28982,AL,2001,18.0,m,25-34
34751,AL,2001,17.0,m,35-44
40520,AL,2001,19.0,m,45-54
46289,AL,2001,20.0,m,55-64
75135,AL,2002,2.0,f,0-14
80904,AL,2002,20.0,f,15-24
86673,AL,2002,19.0,f,25-34
92442,AL,2002,9.0,f,35-44
98211,AL,2002,6.0,f,45-54
103980,AL,2002,8.0,f,55-64
17445,AL,2002,0.0,m,0-14
23214,AL,2002,21.0,m,15-24
28983,AL,2002,27.0,m,25-34
34752,AL,2002,29.0,m,35-44
40521,AL,2002,19.0,m,45-54
46290,AL,2002,23.0,m,55-64
75136,AL,2003,2.0,f,0-14
80905,AL,2003,13.0,f,15-24
86674,AL,2003,8.0,f,25-34
92443,AL,2003,6.0,f,35-44
98212,AL,2003,14.0,f,45-54
103981,AL,2003,12.0,f,55-64
17446,AL,2003,0.0,m,0-14
23215,AL,2003,28.0,m,15-24
28984,AL,2003,19.0,m,25-34
34753,AL,2003,32.0,m,35-44
40522,AL,2003,16.0,m,45-54
46291,AL,2003,22.0,m,55-64
75137,AL,2004,2.0,f,0-14
80906,AL,2004,12.0,f,15-24
86675,AL,2004,12.0,f,25-34
92444,AL,2004,8.0,f,35-44
98213,AL,2004,11.0,f,45-54
103982,AL,2004,10.0,f,55-64
17447,AL,2004,5.0,m,0-14
23216,AL,2004,12.0,m,15-24
28985,AL,2004,19.0,m,25-34
34754,AL,2004,21.0,m,35-44
40523,AL,2004,24.0,m,45-54
46292,AL,2004,23.0,m,55-64
75138,AL,2005,0.0,f,0-14
80907,AL,2005,3.0,f,15-24
86676,AL,2005,9.0,f,25-34
92445,AL,2005,5.0,f,35-44
98214,AL,2005,5.0,f,45-54
69369,AL,2005,0.0,f,5-14
103983,AL,2005,5.0,f,55-64
17448,AL,2005,0.0,m,0-14
23217,AL,2005,26.0,m,15-24
28986,AL,2005,21.0,m,25-34
34755,AL,2005,16.0,m,35-44
40524,AL,2005,31.0,m,45-54
11679,AL,2005,0.0,m,5-14
46293,AL,2005,20.0,m,55-64
75139,AL,2006,2.0,f,0-14
80908,AL,2006,12.0,f,15-24
86677,AL,2006,8.0,f,25-34
92446,AL,2006,7.0,f,35-44
98215,AL,2006,7.0,f,45-54
69370,AL,2006,2.0,f,5-14
103984,AL,2006,7.0,f,55-64
17449,AL,2006,5.0,m,0-14
23218,AL,2006,24.0,m,15-24
28987,AL,2006,19.0,m,25-34
34756,AL,2006,22.0,m,35-44
40525,AL,2006,21.0,m,45-54
11680,AL,2006,4.0,m,5-14
46294,AL,2006,19.0,m,55-64
75140,AL,2007,2.0,f,0-14
80909,AL,2007,13.0,f,15-24
86678,AL,2007,9.0,f,25-34
92447,AL,2007,7.0,f,35-44
98216,AL,2007,7.0,f,45-54
69371,AL,2007,2.0,f,5-14
103985,AL,2007,11.0,f,55-64
17450,AL,2007,0.0,m,0-14
23219,AL,2007,19.0,m,15-24
28988,AL,2007,13.0,m,25-34
34757,AL,2007,16.0,m,35-44
40526,AL,2007,24.0,m,45-54
11681,AL,2007,0.0,m,5-14
46295,AL,2007,16.0,m,55-64
75141,AL,2008,1.0,f,0-14
80910,AL,2008,20.0,f,15-24
86679,AL,2008,10.0,f,25-34
92448,AL,2008,8.0,f,35-44
98217,AL,2008,5.0,f,45-54
69372,AL,2008,1.0,f,5-14
103986,AL,2008,5.0,f,55-64
17451,AL,2008,1.0,m,0-14
23220,AL,2008,23.0,m,15-24
28989,AL,2008,26.0,m,25-34
34758,AL,2008,13.0,m,35-44
40527,AL,2008,19.0,m,45-54
11682,AL,2008,0.0,m,5-14
46296,AL,2008,13.0,m,55-64
75157,AM,1995,1.0,f,0-14
80926,AM,1995,1.0,f,15-24
86695,AM,1995,7.0,f,25-34
92464,AM,1995,2.0,f,35-44
98233,AM,1995,1.0,f,45-54
104002,AM,1995,1.0,f,55-64
17467,AM,1995,1.0,m,0-14
23236,AM,1995,18.0,m,15-24
29005,AM,1995,16.0,m,25-34
34774,AM,1995,11.0,m,35-44
40543,AM,1995,10.0,m,45-54
46312,AM,1995,8.0,m,55-64
75158,AM,1996,0.0,f,0-14
80927,AM,1996,9.0,f,15-24
86696,AM,1996,11.0,f,25-34
92465,AM,1996,9.0,f,35-44
98234,AM,1996,8.0,f,45-54
104003,AM,1996,4.0,f,55-64
17468,AM,1996,2.0,m,0-14
23237,AM,1996,53.0,m,15-24
29006,AM,1996,100.0,m,25-34
34775,AM,1996,51.0,m,35-44
40544,AM,1996,43.0,m,45-54
46313,AM,1996,30.0,m,55-64
75159,AM,1997,3.0,f,0-14
80928,AM,1997,16.0,f,15-24
86697,AM,1997,22.0,f,25-34
92466,AM,1997,17.0,f,35-44
98235,AM,1997,7.0,f,45-54
104004,AM,1997,14.0,f,55-64
17469,AM,1997,2.0,m,0-14
23238,AM,1997,85.0,m,15-24
29007,AM,1997,59.0,m,25-34
34776,AM,1997,77.0,m,35-44
40545,AM,1997,51.0,m,45-54
46314,AM,1997,34.0,m,55-64
75160,AM,1998,1.0,f,0-14
80929,AM,1998,21.0,f,15-24
86698,AM,1998,20.0,f,25-34
92467,AM,1998,11.0,f,35-44
98236,AM,1998,10.0,f,45-54
104005,AM,1998,5.0,f,55-64
17470,AM,1998,2.0,m,0-14
23239,AM,1998,159.0,m,15-24
29008,AM,1998,90.0,m,25-34
34777,AM,1998,79.0,m,35-44
40546,AM,1998,39.0,m,45-54
46315,AM,1998,17.0,m,55-64
75161,AM,1999,6.0,f,0-14
80930,AM,1999,22.0,f,15-24
86699,AM,1999,15.0,f,25-34
92468,AM,1999,20.0,f,35-44
98237,AM,1999,6.0,f,45-54
104006,AM,1999,9.0,f,55-64
17471,AM,1999,4.0,m,0-14
23240,AM,1999,151.0,m,15-24
29009,AM,1999,88.0,m,25-34
34778,AM,1999,115.0,m,35-44
40547,AM,1999,76.0,m,45-54
46316,AM,1999,37.0,m,55-64
75162,AM,2000,1.0,f,0-14
80931,AM,2000,24.0,f,15-24
86700,AM,2000,27.0,f,25-34
92469,AM,2000,24.0,f,35-44
98238,AM,2000,8.0,f,45-54
104007,AM,2000,8.0,f,55-64
17472,AM,2000,2.0,m,0-14
23241,AM,2000,152.0,m,15-24
29010,AM,2000,130.0,m,25-34
34779,AM,2000,131.0,m,35-44
40548,AM,2000,63.0,m,45-54
46317,AM,2000,26.0,m,55-64
75163,AM,2001,1.0,f,0-14
80932,AM,2001,40.0,f,15-24
86701,AM,2001,31.0,f,25-34
92470,AM,2001,22.0,f,35-44
98239,AM,2001,10.0,f,45-54
104008,AM,2001,7.0,f,55-64
17473,AM,2001,2.0,m,0-14
23242,AM,2001,154.0,m,15-24
29011,AM,2001,120.0,m,25-34
34780,AM,2001,93.0,m,35-44
40549,AM,2001,54.0,m,45-54
46318,AM,2001,24.0,m,55-64
75164,AM,2002,2.0,f,0-14
80933,AM,2002,16.0,f,15-24
86702,AM,2002,24.0,f,25-34
92471,AM,2002,32.0,f,35-44
98240,AM,2002,36.0,f,45-54
104009,AM,2002,4.0,f,55-64
17474,AM,2002,1.0,m,0-14
23243,AM,2002,95.0,m,15-24
29012,AM,2002,63.0,m,25-34
34781,AM,2002,109.0,m,35-44
40550,AM,2002,93.0,m,45-54
46319,AM,2002,21.0,m,55-64
75165,AM,2003,2.0,f,0-14
80934,AM,2003,29.0,f,15-24
86703,AM,2003,31.0,f,25-34
92472,AM,2003,13.0,f,35-44
98241,AM,2003,12.0,f,45-54
104010,AM,2003,9.0,f,55-64
17475,AM,2003,12.0,m,0-14
23244,AM,2003,120.0,m,15-24
29013,AM,2003,98.0,m,25-34
34782,AM,2003,75.0,m,35-44
40551,AM,2003,104.0,m,45-54
